Current Time,City,State,Country,Temperature,Feels Like,Humidity,Precipitation,Pressure,Wind_Speed,Wind Direction,Visibility,Sunrise,Sunset
2025-07-26 18:11:57,Perth Amboy,New Jersey,US,79,79,60,0,1018,13,140,10000,05:48:45,20:18:13
2025-07-26 18:14:40,Perth Amboy,New Jersey,US,79,79,60,0,1018,13,140,10000,05:48:45,20:18:13
2025-07-26 18:14:51,Nome,Alaska,US,60,59,75,0,1019,4,221,10000,09:46:44,04:29:17
2025-07-26 18:14:56,Kyoto,,JP,82,89,81,0,1010,2,98,10000,16:02:14,06:04:29
2025-07-26 18:15:02,Reethi Rah,Malé Atoll,MV,82,86,72,0,1010,3,159,10000,21:03:04,09:22:45
2025-07-26 18:15:09,Río Piedras,Puerto Rico,US,84,93,76,0,1015,16,80,10000,06:00:00,19:01:10
2025-07-26 18:17:45,Perth Amboy,New Jersey,US,79,79,60,0,1018,13,140,10000,05:48:45,20:18:13
2025-07-26 18:18:04,Reethi Rah,Malé Atoll,MV,82,86,72,0,1010,3,159,10000,21:03:04,09:22:45
2025-07-26 18:18:17,Kyoto,,JP,83,91,79,0,1010,2,98,10000,16:02:14,06:04:29
2025-07-26 18:18:29,Río Piedras,Puerto Rico,US,84,92,76,0,1015,16,80,10000,06:00:00,19:01:10
2025-07-26 18:18:40,San Diego,California,US,73,73,65,0,1014,13,270,10000,08:58:39,22:51:25
2025-07-26 18:45:43,Perth Amboy,New Jersey,US,78,79,62,0,1018,10,150,10000,05:48:45,20:18:13
2025-07-26 18:45:43,Perth Amboy,New Jersey,US,78,79,62,0,1018,10,150,10000,05:48:45,20:18:13
2025-07-27 11:15:35,Reethi Rah,Malé Atoll,MV,83,88,73,0,1012,4,34,10000,21:03:04,09:22:45
2025-07-27 11:15:59,Perth Amboy,New Jersey,US,78,79,83,0,1017,3,230,10000,05:49:40,20:17:18
2025-07-27 11:16:09,Kyoto,,JP,82,88,75,0,1007,2,243,10000,16:02:59,06:03:44
2025-07-27 11:16:18,San Diego,California,US,66,66,79,0,1015,8,360,10000,08:59:20,22:50:44
2025-07-27 11:16:27,Nome,Alaska,US,50,49,100,0,1015,7,200,1609,09:50:04,04:25:58
2025-07-27 11:16:53,Río Piedras,Puerto Rico,US,84,94,81,0,1017,17,90,10000,06:00:21,19:00:49
2025-07-27 11:25:13,San Diego,California,US,66,66,78,0,1015,8,360,10000,08:59:20,22:50:44
2025-07-27 11:25:21,Nome,Alaska,US,50,49,100,0,1015,8,210,3219,09:50:04,04:25:58
2025-07-27 11:25:29,Río Piedras,Puerto Rico,US,83,93,82,0,1017,17,90,10000,06:00:21,19:00:49
2025-07-27 11:25:55,Reethi Rah,Malé Atoll,MV,83,88,73,0,1012,4,34,10000,21:03:04,09:22:45
2025-07-27 11:26:09,Perth Amboy,New Jersey,US,78,79,78,0,1017,5,246,10000,05:49:40,20:17:18
2025-07-27 11:25:21,Nome,Alaska,US,50,49,100,0,1015,8,210,3219,09:50:04,04:25:58
2025-07-27 11:30:03,Perth Amboy,New Jersey,US,78,79,78,0,1017,5,246,10000,05:49:40,20:17:18
2025-07-27 11:30:12,Nome,Alaska,US,50,49,100,0,1015,8,210,3219,09:50:04,04:25:58
2025-07-27 11:30:21,San Diego,California,US,66,66,78,0,1015,8,360,10000,08:59:20,22:50:44
2025-07-27 11:30:28,Reethi Rah,Malé Atoll,MV,83,88,73,0,1012,3,68,10000,21:03:04,09:22:45
2025-07-27 11:30:39,Río Piedras,Puerto Rico,US,84,94,82,0,1016,17,90,10000,06:00:21,19:00:49
2025-07-27 11:31:13,Perth Amboy,New Jersey,US,78,79,78,0,1017,5,359,10000,05:49:40,20:17:18
